,ic_mean,icir
high55,0.009556281851216274,0.053143455414856
high56,0.009507147363950754,0.053080223454632695
high57,0.008958879504909945,0.05012759085597832
high58,0.00871386455576944,0.04881501734159687
high59,0.008539982960036241,0.04795553512770609
high60,0.008855393359852824,0.04972943472384286
low1,0.02057682468715916,0.11875989945321863
low2,0.01942182328212627,0.11023690471532645
low3,0.02740691044963479,0.1514519652487681
low4,0.033663616681727696,0.18461173523916483
low5,0.030482409973264204,0.1653824880687609
low6,0.02624783607730386,0.14141544461844188
low7,0.023976131596826673,0.12779937087851873
low8,0.022030384021898764,0.11689660857920495
low9,0.020280638431117874,0.10645413399764522
low10,0.018420674191571784,0.09675194479733201
low11,0.01678307721803814,0.0880185808732255
low12,0.016795762369725985,0.08780645258965265
low13,0.01522539733158467,0.07960911713150616
low14,0.014185127286199743,0.07403293810319243
low15,0.014627014660669117,0.07645169026684383
low16,0.01440362925187113,0.07515737043472209
low17,0.014088301646765791,0.07384029479968716
low18,0.01446905755182638,0.0758218736604408
low19,0.014695777015096945,0.077311429769609
low20,0.014965332339339764,0.0789746074606001
low21,0.014190153258373603,0.07517747875026572
low22,0.014412492229892387,0.07668527208657526
low23,0.014546011016125468,0.07754261975298117
low24,0.014900888580092086,0.0795082163041122
low25,0.015109603828597237,0.08074950466724957
low26,0.015212215865967839,0.08142635992423494
low27,0.0151138182475204,0.08098972496906648
low28,0.014605311398147742,0.07839022129103022
low29,0.014786801797274698,0.07938231262158238
low30,0.014508012481295574,0.07786272969782071
low31,0.014563144374546868,0.0780791566065476
low32,0.014484320639705906,0.07781284127904224
low33,0.013991629851310932,0.07513710234647979
low34,0.01381012104640977,0.07438872492589516
low35,0.013310413747075417,0.07178065559990461
low36,0.012549004194999703,0.06768277103779512
low37,0.01155367264991408,0.06237989500861201
low38,0.011738930919156895,0.0634809936636074
low39,0.01164112879627409,0.06289960708997586
low40,0.011360038886752383,0.061303039530380035
low41,0.010669198881107565,0.05767695265516785
low42,0.010706137520427051,0.05790921837264529
low43,0.01028332269332722,0.055593618194196975
low44,0.010694030307005014,0.05784934246511541
low45,0.01088931135346049,0.05915095726057758
low46,0.01095473081365872,0.05963167852559184
low47,0.010743357084106531,0.05867372381928963
low48,0.010938692141279575,0.059975495881650534
low49,0.010713046890589101,0.05883486349403085
low50,0.010512017402460024,0.057967109050957526
low51,0.01007838479040855,0.0558125299825572
low52,0.01063510909081966,0.05897672032586188
low53,0.010395059207979472,0.05768155813013944
low54,0.00991840095176482,0.05512450360550377
low55,0.010042691550727938,0.05584466074304311
low56,0.009872149448532479,0.05508537471700875
low57,0.009179268488682465,0.05141958169126915
low58,0.00880333168829111,0.049358269154679356
low59,0.008668080236365283,0.04872989755794658
low60,0.00886935189813227,0.04987473440196166
vol1,0.007882800127770331,0.06614427873255749
vol2,0.002800645038850775,0.022732677178129674
vol3,-0.0026604442258167937,-0.021388269982908367
vol4,0.009262855412449424,0.0731127395663395
vol5,0.011560347730152399,0.09113863702992943
vol6,0.009396598929510839,0.07311129350523855
vol7,0.007182643672920981,0.05594316269666319
vol8,0.004211246199494097,0.033101174976811115
vol9,0.004672934744230918,0.03701818990155449
vol10,0.006401576056236734,0.05097367969968672
vol11,0.0059064791245621185,0.046711349742156856
vol12,0.005895891547998408,0.04763805225950743
vol13,0.004742655579360232,0.03796946473831516
vol14,0.003246333572081877,0.025808581184299732
vol15,0.003315240941745438,0.026514786796250796
vol16,0.002076037205409718,0.016511557959778073
vol17,0.004007438093935701,0.03163249487882274
vol18,0.003272873886506789,0.026010740962918187
vol19,0.005011907019387976,0.03972903988672906
vol20,0.004070131674570517,0.032402039137424836
vol21,0.004303933869832611,0.034613670256299245
vol22,0.005314902286874431,0.042087426884265804
vol23,0.004444457232818213,0.03548520322271402
vol24,0.0052788574787745405,0.04180468008548308
vol25,0.0075251241041104176,0.05970504989552472
vol26,0.0061480771832362,0.04896001614637074
vol27,0.004971161089713711,0.03970407824367655
vol28,0.005446410040291822,0.043916335199999386
vol29,0.004849984391114487,0.03895114593227249
vol30,0.006682505962669663,0.05408143767484347
vol31,0.008631516175167742,0.0699652752286118
vol32,0.008624262857889411,0.06927827101589071
vol33,0.01017825268269588,0.08159122709356634
vol34,0.009420442153544298,0.07535623093668178
vol35,0.008553926509920385,0.0692524690286682
vol36,0.007017118730178921,0.05723703427361258
vol37,0.006980882750054121,0.055685215646621225
vol38,0.0061366931823862,0.049073003393518055
vol39,0.007727299595387462,0.062119269015222994
vol40,0.008985553504459391,0.07227266144184996
vol41,0.008826082075621418,0.07101955447031442
vol42,0.006986763079650841,0.056759119177792125
vol43,0.006178264560203246,0.049718769786358925
vol44,0.007594563819210158,0.061130602410703914
vol45,0.008145006656968982,0.06490490377921093
vol46,0.0068623376217306796,0.05520162823548386
vol47,0.00613179596331182,0.04916391966354984
vol48,0.008818682738145846,0.07094454328144097
vol49,0.008699010714650714,0.06965301523656396
vol50,0.008744724010891148,0.07042755800534317
vol51,0.009376430327603028,0.0752801966837706
vol52,0.009141134711222137,0.07378776026775385
vol53,0.010337944291361027,0.08346810527033113
vol54,0.008753590199643158,0.07082982189504017
vol55,0.008948974525292065,0.07234713878035155
vol56,0.007713316366017104,0.06230208676874639
vol57,0.007279962753204553,0.058410358198507505
vol58,0.007297279824782917,0.05883298720196979
vol59,0.006547521594449722,0.0526077272016015
vol60,0.007883542692115829,0.06347315119877084
amount1,0.008855337176489474,0.07312167795569659
amount2,0.0038839921296393554,0.031039085417508855
amount3,-0.000896546297396713,-0.0070686158351138985
amount4,0.011600863214374573,0.08932555572470206
amount5,0.01391520148496613,0.1069237504844692
amount6,0.011454124730954153,0.08686926960620822
amount7,0.00904286040495802,0.06860441142789721
amount8,0.006022248446053773,0.04592946700519183
amount9,0.00630299328942273,0.04862943433738756
amount10,0.007811531932387279,0.0603254086629939
amount11,0.007240992320591118,0.055457623518941714
amount12,0.007100140222977096,0.055485454083637385
amount13,0.006094129966175418,0.04720298244518535
amount14,0.004511774704922193,0.034612437655821504
amount15,0.004649271180448593,0.0357425587837153
amount16,0.003586488221108427,0.027426011380867362
amount17,0.00563293843841676,0.04285613142202309
amount18,0.004981619408602502,0.03798759150594506
amount19,0.006855469421614812,0.052011477239217965
amount20,0.00591800476689842,0.045141332177149676
amount21,0.006130141234559084,0.047196944882148276
amount22,0.006842473555704569,0.051891752999955736
amount23,0.006217504526548122,0.04747303417788639
amount24,0.007422732924846878,0.056322097388026786
amount25,0.009746692126246324,0.07419968990774528
amount26,0.008208364337371115,0.06278270258670433
amount27,0.007081834720797535,0.05436442910298225
amount28,0.007333199967461972,0.056731401962113265
amount29,0.006887159159367221,0.053187400858260236
amount30,0.008696866278776118,0.06757583046613634
amount31,0.010821116929191516,0.08418963042654483
amount32,0.010724098822822823,0.08272631913761505
amount33,0.012262537198925432,0.09366291031689536
amount34,0.011367542917990922,0.08703598649182259
amount35,0.010606575814297524,0.081961820098295
amount36,0.008995613659043408,0.06997509837412316
amount37,0.008970079852706368,0.06854140159807041
amount38,0.00809694775830777,0.06217966242711908
amount39,0.009861661900277116,0.07604060631375313
amount40,0.010865441093698077,0.08367459590482863
amount41,0.01072695827850763,0.08264883827382553
amount42,0.009169838046615888,0.07098970360397691
amount43,0.00835522549238776,0.0640271778561536
amount44,0.009587800210649174,0.0734599237962993
amount45,0.010367215038784164,0.07860931130968961
amount46,0.00903763340778998,0.06911544770223313
